15	6	E	-3201403.48089737	200
transitionprobs	14	11	0.0
transitionprobs	14	12	0.0
transitionprobs	14	13	2.3277147057158203E-5
transitionprobs	14	14	0.999091498341251
transitionprobs	14	15	4.1771791026525956E-4
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	4.918989796342195E-4
transitionprobs	15	7	3.3372472497640994E-4
transitionprobs	15	8	0.0010458979666833326
transitionprobs	15	9	0.004313093017025582
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	0.0023695489565714834
transitionprobs	15	15	0.9914458363551091
emissionprobs	1	0	H3K27ac	0	0.11484675102838195
emissionprobs	1	0	H3K27ac	1	0.8851532489716181
emissionprobs	1	1	H3K27me3	0	0.9999448334706442
emissionprobs	1	1	H3K27me3	1	5.516652935582135E-5
emissionprobs	1	2	H3K36me3	0	0.939573916413719
emissionprobs	1	2	H3K36me3	1	0.060426083586281064
emissionprobs	1	3	H3K4me1	0	0.05323738998792931
emissionprobs	1	3	H3K4me1	1	0.9467626100120707
emissionprobs	1	4	H3K4me3	0	0.9939072004099413
emissionprobs	1	4	H3K4me3	1	0.006092799590058626
emissionprobs	1	5	H3K9me3	0	0.9793208086105026
emissionprobs	1	5	H3K9me3	1	0.020679191389497288
emissionprobs	2	0	H3K27ac	0	0.6474108616567178
emissionprobs	2	0	H3K27ac	1	0.35258913834328215
emissionprobs	2	1	H3K27me3	0	1.0
emissionprobs	2	1	H3K27me3	1	6.734933347110397E-133
emissionprobs	2	2	H3K36me3	0	0.9963850449107959
emissionprobs	2	2	H3K36me3	1	0.0036149550892039567
emissionprobs	2	3	H3K4me1	0	0.8995351236180016
emissionprobs	2	3	H3K4me1	1	0.10046487638199836
emissionprobs	2	4	H3K4me3	0	0.9900035124894391
emissionprobs	2	4	H3K4me3	1	0.009996487510560925
emissionprobs	2	5	H3K9me3	0	0.9851948782241204
emissionprobs	2	5	H3K9me3	1	0.014805121775879462
emissionprobs	3	0	H3K27ac	0	0.01773449555492044
emissionprobs	3	0	H3K27ac	1	0.9822655044450797
emissionprobs	3	1	H3K27me3	0	1.0
emissionprobs	3	1	H3K27me3	1	3.0265084682348643E-116
emissionprobs	3	2	H3K36me3	0	0.9592779000637119
emissionprobs	3	2	H3K36me3	1	0.04072209993628799
emissionprobs	3	3	H3K4me1	0	0.12451590883732669
emissionprobs	3	3	H3K4me1	1	0.8754840911626733
emissionprobs	3	4	H3K4me3	0	0.025218310858159444
